.------------------------------------------------------------------------------.
| ------------   USER DEFINITIONS FOR TABLE-A TABLE-B TABLE D   -------------- |
|------------------------------------------------------------------------------|
| MNEMONIC | NUMBER | DESCRIPTION                                              |
| HHMM     | 301012 | TIME -- HOUR, MINUTE                                     |
| LTLONH   | 301021 | HIGH ACCURACY LATITUDE/LONGITUDE POSITION                |
| SATDRWN2 | 310077 | Satellite-derived winds                                  |
| BID      | 352001 | BULLETIN HEADER DATA                                     |
| RAWRPT   | 352002 | REPORT RECEIPT TIME DATA                                 |
| RCPTIM   | 352003 | REPORT RECEIPT TIME DATA                                 |
| SATOBW2  | 362063 | SATOB WIND DATA AT SPECIFIED PRESSURE LEVELS             |
| TWIND    | 362064 | INTERMEDIATE WIND AND TIME STAMP                         |
| MDPT     | 362065 | HEIGHT ASSIGNMENT SEQUENCE                               |
| GQCPRMS  | 362066 | GOES SAT QC PARAMETERS                                   |
| QCPRMS   | 362067 | QC PARAMETERS                                            |
| RPSEQ1   | 362081 | INTERMEDIATE WIND AND TIME STAMPS REPLICATED DATA SEQEU  |
| AMVAHA   | 362193 | DERIVED MOTION WIND (DMW) EXTENDED HEIGHT ASSIGNMENT     |
| AMVIII   | 362196 | DERIVED MOTION WIND (DMW) INDIVIDUAL IMAGE INFORMATION   |
| AMVIVR   | 362197 | DERIVED MOTION WIND (DMW) INTERMEDIATE VECTORS           |
| AMVIVS   | 362229 | DERIVED MOTION WIND (DMW) INTERMEDIATE VECTOR STATISTIC  |
| AMVIVE   | 362230 | DERIVED MOTION WIND (DMW) INTERMEDIATE VECTOR EST. ERRO  |
| AMVCLD   | 362231 | DERIVED MOTION WIND (DMW) CLOUD INFORMATION              |
| AMVQIC   | 362232 | DERIVED MOTION WIND (DMW) QUALITY INDICATOR CONFIDENCE   |
|          |        |                                                          |
| SAID     | 001007 | SATELLITE IDENTIFIER                                     |
| DOMO     | 001012 | DIRECTION OF MOTION OF MOVING OBSERVING PLATFORM         |
| OSQN     | 001023 | OBSERVATION SEQUENCE NUMBER                              |
| GCLONG   | 001031 | ORIGINATING/GENERATING CENTER                            |
| GNAP     | 001032 | GENERATING APPLICATION                                   |
| OGCE     | 001033 | ORIGINATING/GENERATING CENTER                            |
| GSES     | 001034 | IDENTIFICATION OF ORIGINATING/GENERATING SUB-CENTER      |
| GNAPS    | 001044 | Standard generating application                          |
| ICLX     | 001062 | SHORT ICAO LOCATION INDICATOR                            |
| GPTI     | 001124 | GRID POINT IDENTIFIER                                    |
| SACO     | 001195 | COUNTRY/AGENCY OPERATING SATELLITE (WMO CT 1761)         |
| SANA     | 001196 | INDICATOR FIGURE FOR SATELLITE NAME                      |
| RPID     | 001198 | REPORT IDENTIFIER                                        |
| TIWM     | 002002 | TYPE OF INSTRUMENTATION FOR WIND MEASUREMENT             |
| SIID     | 002019 | SATELLITE INSTRUMENTS                                    |
| SCLF     | 002020 | SATELLITE CLASSIFICATION                                 |
| SWCM     | 002023 | SATELLITE DERIVED WIND CALCULATION METHOD                |
| CTRE     | 002026 | CROSS-TRACK RESOLUTION (AT NADIR)                        |
| ATRE     | 002027 | ALONG-TRACK RESOLUTION (AT NADIR)                        |
| SSNX     | 002028 | SEGMENT SIZE AT NADIR IN X DIRECTION                     |
| SSNY     | 002029 | SEGMENT SIZE AT NADIR IN Y DIRECTION                     |
| OFGI     | 002057 | ORIGIN OF FIRST GUESS INFORMATION                        |
| SIDP     | 002152 | SATELLITE INSTRUMENT USED IN DATA PROCESSING             |
| SCCF     | 002153 | SATELLITE CHANNEL CENTER FREQUECY                        |
| SCBW     | 002154 | SATELLITE CHANNEL BAND WIDTH                             |
| WDPF     | 002161 | WIND PROCESSING METHOD                                   |
| EHAM     | 002162 | EXTENDED HEIGHT ASSIGNMENT METHOD                        |
| HAMD     | 002163 | HEIGHT ASSIGNMENT METHOD                                 |
| TCMD     | 002164 | TRACER CORRELATION METHOD                                |
| SWTP     | 002201 | NESDIS SATELLITE WIND TYPE                               |
| YEAR     | 004001 | YEAR                                                     |
| MNTH     | 004002 | MONTH                                                    |
| DAYS     | 004003 | DAY                                                      |
| HOUR     | 004004 | HOUR                                                     |
| MINU     | 004005 | MINUTES                                                  |
| SECO     | 004006 | SECONDS                                                  |
| TPHR     | 004024 | TIME PERIOD OR DISPLACEMENT                              |
| LTDS     | 004086 | LONG TIME PERIOD OR DISPLACEMENT (SECONDS)               |
| RCYR     | 004200 | YEAR   - TIME OF RECEIPT                                 |
| RCMO     | 004201 | MONTH  - TIME OF RECEIPT                                 |
| RCDY     | 004202 | DAY    - TIME OF RECEIPT                                 |
| RCHR     | 004203 | HOUR   - TIME OF RECEIPT                                 |
| RCMI     | 004204 | MINUTE - TIME OF RECEIPT                                 |
| CLATH    | 005001 | LATITUDE (HIGH ACCURACY)                                 |
| CLAT     | 005002 | LATITUDE(COARSE ACCURACY)                                |
| BEARAZ   | 005021 | BEARING OR AZIMUTH                                       |
| ORBN     | 005040 | ORBIT NUMBER                                             |
| CHNM     | 005042 | CHANNEL NUMBER                                           |
| CLONH    | 006001 | LONGITUDE (HIGH ACCURACY)                                |
| CLON     | 006002 | LONGITUDE (COARSE ACCURACY)                              |
| SELV     | 007001 | HEIGHT OF STATION                                        |
| PRLC     | 007004 | PRESSURE                                                 |
| HEIT     | 007007 | HEIGHT                                                   |
| SAZA     | 007024 | SATELLITE ZENITH ANGLE                                   |
| VSAT     | 008003 | VERTICAL SIGNIFICANCE (SATELLITE OBSERVATIONS)           |
| METFET   | 008011 | METEOROLOGICAL FEATURE                                   |
| LSQL     | 008012 | LAND/SEA QUALIFIER                                       |
| DNQL     | 008013 | DAY/NIGHT QUALIFIER                                      |
| TSIG     | 008021 | TIME SIGNIFICANCE                                        |
| FOST     | 008023 | FIRST ORDER STATISTICS                                   |
| VSNWP    | 008086 | VERTICAL SIGNIFICANCE FOR NWP                            |
| MUNCEX   | 008092 | Measurement uncertainty expression                       |
| RCTS     | 008202 | RECEIPT TIME SIGNIFICANCE                                |
| HGHT     | 010007 | HEIGHT                                                   |
| WDIR     | 011001 | WIND DIRECTION                                           |
| WSPD     | 011002 | WIND SPEED                                               |
| UWND     | 011003 | U-COMPONENT                                              |
| VWND     | 011004 | V-COMPONENT                                              |
| UMWV     | 011095 | U-COMPONENT OF THE MODEL WIND VECTOR                     |
| VWMV     | 011096 | V-COMPONENT OF THE MODEL WIND VECTOR                     |
| TCOV     | 011113 | TRACKING CORRELATION OF VECTOR                           |
| TMDBST   | 012001 | TEMPERATURE/DRY BULB TEMPERATURE                         |
| CCST     | 012071 | COLDEST CLUSTER TEMPERATURE                              |
| TMDB     | 012101 | TEMPERATURE/DRY BULB TEMPERATURE                         |
| COPT     | 013093 | CLOUD OPTICAL THICKNESS                                  |
| ILWP     | 013109 | ICE/LIQUID WATER PATH                                    |
| EMMI     | 014050 | EMISSIVITY                                               |
| TOCC     | 020010 | CLOUD COVER (TOTAL)                                      |
| CLAM     | 020011 | CLOUD AMOUNT                                             |
| CLTP     | 020012 | CLOUD TYPE                                               |
| HOCT     | 020014 | HEIGHT OF TOP OF CLOUD                                   |
| CDTP     | 020016 | PRESSURE AT THE TOP OF CLOUD                             |
| CLDP     | 020056 | CLOUD PHASE                                              |
| CLDMNT   | 020081 | CLOUD AMOUNT IN SEGMENT                                  |
| XEEM     | 020111 | X-AXIS ERROR ELLIPSE MAJOR COMPONENT                     |
| YEEM     | 020112 | Y-AXIS ERROR ELLIPSE MINOR COMPONENT                     |
| AXEE     | 020114 | ANGLE OF X-AXIS IN ERROR ELLIPSE                         |
| SOFTV    | 025061 | SOFTWARE IDENTIFICATION AND VERSION NUMBER               |
| DBID     | 025062 | DATABASE IDENTIFICATION                                  |
| CVWD     | 025148 | COEFFICIENT OF VARIATION                                 |
| OECS     | 025149 | OPTIMAL ESTIMATE COST                                    |
